,TotalHurricanes,AvgSeaSurfaceCelsius
1851-12-31,-0.9402816511888117,-0.4021747379485596
1852-12-31,-0.1499689722149245,-0.3808039589389903
1853-12-31,-0.5451253117018681,-0.5073847411827951
1854-12-31,-0.9402816511888117,-0.6181840231387337
1855-12-31,-0.5451253117018681,-0.49456227219890364
1856-12-31,-0.5451253117018681,-0.8608245900646826
1857-12-31,-0.9402816511888117,-1.3609008804364549
1858-12-31,0.24518736727201912,-1.4368493505718132
1859-12-31,0.6403437067589628,-0.9456501541119654
1860-12-31,0.24518736727201912,-0.654678742554425
1861-12-31,0.24518736727201912,-1.2330049744837863
1862-12-31,-0.9402816511888117,-1.214593222832817
1863-12-31,-0.1499689722149245,-1.0498738135782093
1864-12-31,-0.9402816511888117,-1.1725092207500476
1865-12-31,-0.9402816511888117,-0.5573594934094978
1866-12-31,0.24518736727201912,-0.4771368643159259
1867-12-31,0.6403437067589628,-0.4833837108101231
1868-12-31,-0.9402816511888117,-0.49850764727087027
1869-12-31,0.6403437067589628,-0.6507333674824585
1870-12-31,1.8258127252197935,-0.5228374615297897
1871-12-31,0.24518736727201912,-0.5162618350947202
1872-12-31,-0.5451253117018681,-0.512974023849873
1873-12-31,-0.9402816511888117,-0.7325999002257664
1874-12-31,-0.5451253117018681,-1.1600155356524033
1875-12-31,-0.1499689722149245,-0.577415148710203
1876-12-31,-0.5451253117018681,-0.9860902485996235
1877-12-31,-0.9402816511888117,0.2770873343114484
1878-12-31,1.8258127252197935,0.4809317143448502
1879-12-31,0.24518736727201912,-0.3318155504802794
1880-12-31,1.43065638573285,-0.3229384565683544
1881-12-31,-0.5451253117018681,-0.15624635977776347
1882-12-31,-0.5451253117018681,-0.37225564496793756
1883-12-31,-0.9402816511888117,-0.5096862086596508
1884-12-31,-0.5451253117018681,-0.9157310611313434
1885-12-31,0.24518736727201912,-0.8611533739509296
1886-12-31,1.8258127252197935,-0.904881279683435
1887-12-31,2.220969064706737,-1.1593579718252838
1888-12-31,0.24518736727201912,-0.5050832737059398
1889-12-31,0.24518736727201912,-0.16742492116654403
1890-12-31,-1.3354379906757554,-1.2497728185396448
1891-12-31,0.6403437067589628,-0.6438289611065167
1892-12-31,-0.1499689722149245,-1.1853316897339392
1893-12-31,1.8258127252197935,-1.1406174402334424
1894-12-31,-0.1499689722149245,-1.226429348048717
1895-12-31,-1.3354379906757554,-0.8798939055427712
1896-12-31,0.24518736727201912,-0.07635251457043889
1897-12-31,-0.9402816511888117,-0.2683607693879408
1898-12-31,-0.1499689722149245,-1.174481908286031
1899-12-31,-0.1499689722149245,-0.6776934331044805
1900-12-31,-0.9402816511888117,-0.36732392612797926
1901-12-31,0.24518736727201912,-0.8387962472279937
1902-12-31,-0.9402816511888117,-1.1928936599370004
1903-12-31,0.6403437067589628,-1.620309291418262
1904-12-31,-0.5451253117018681,-1.6758733263120427
1905-12-31,-1.730594330162699,-1.1340418137983728
1906-12-31,0.24518736727201912,-0.9367730602000403
1907-12-31,-2.1257506696496424,-1.2911992567952943
1908-12-31,0.24518736727201912,-1.6979016691487314
1909-12-31,0.24518736727201912,-1.779768201892039
1910-12-31,-0.9402816511888117,-1.816262921307731
1911-12-31,-0.9402816511888117,-1.8481547018243363
1912-12-31,-0.5451253117018681,-1.3089534446191444
1913-12-31,-0.5451253117018681,-1.4329039754998465
1914-12-31,-2.1257506696496424,-0.8177542481592966
1915-12-31,-0.1499689722149245,-0.3245823641634655
1916-12-31,1.8258127252197935,-1.1514672216813506
1917-12-31,-1.3354379906757554,-1.2172234741959198
1918-12-31,-0.5451253117018681,-0.9426911228079903
1919-12-31,-1.3354379906757554,-0.8631260614869128
1920-12-31,-0.5451253117018681,-0.6474455562376112
1921-12-31,-0.1499689722149245,-0.49949399103886183
1922-12-31,-0.9402816511888117,-0.8545777475158604
1923-12-31,-0.5451253117018681,-0.7796156211484939
1924-12-31,-0.1499689722149245,-0.7007081197091609
1925-12-31,-1.730594330162699,-0.5422355530033757
1926-12-31,1.0355000462459063,-0.07076323190336117
1927-12-31,-0.5451253117018681,-0.33937752068334043
1928-12-31,-0.5451253117018681,-0.4567524290743482
1929-12-31,-0.9402816511888117,-0.7427921217919302
1930-12-31,-1.3354379906757554,-0.11481992152211364
1931-12-31,-0.9402816511888117,0.04924192390537443
1932-12-31,0.24518736727201912,-0.2266055472460437
1933-12-31,2.220969064706737,-0.510014992545898
1934-12-31,0.6403437067589628,-0.3130750188884378
1935-12-31,-0.1499689722149245,-0.3012388936725378
1936-12-31,0.6403437067589628,-0.16249320232658573
1937-12-31,-0.5451253117018681,0.39676371412468675
1938-12-31,-0.5451253117018681,0.08738055091617701
1939-12-31,-0.9402816511888117,0.10842254998487416
1940-12-31,0.24518736727201912,0.4852058693576891
1941-12-31,-0.5451253117018681,0.6709672816263689
1942-12-31,-0.5451253117018681,0.4809317143448502
1943-12-31,-0.1499689722149245,0.4049832442094922
1944-12-31,1.0355000462459063,1.0017212238444477
1945-12-31,-0.1499689722149245,0.9563494105168315
1946-12-31,-0.9402816511888117,0.34185724305802584
1947-12-31,-0.1499689722149245,0.20278277177120152
1948-12-31,0.24518736727201912,0.22020817965417924
1949-12-31,0.6403437067589628,0.20508423924805702
1950-12-31,2.220969064706737,0.09461373723299092
1951-12-31,1.0355000462459063,0.43227208977238657
1952-12-31,-0.1499689722149245,0.7663138432353129
1953-12-31,0.6403437067589628,0.7768348447423489
1954-12-31,0.6403437067589628,0.039378486225457796
1955-12-31,1.43065638573285,-0.22035870469722157
